,period,raw_data,closer#,category,label,Silhouette,result
30,202011,-0.0007621333422139287,2,2.0,1.0,0.6969348000000001,1
31,202011,-0.003095082016661763,2,2.0,11.0,0.6969348000000001,1
32,202011,-0.0019574944535270334,2,2.0,11.0,0.6969348000000001,1
33,202011,-0.001956765284994617,2,2.0,7.0,0.6969348000000001,1
34,202011,-0.004229253306984902,2,2.0,11.0,0.6969348000000001,1
35,202011,-7.445690804161131e-05,2,2.0,1.0,0.6969348000000001,1
36,202011,-0.00037450762625667266,2,2.0,1.0,0.6969348000000001,1
37,202011,-7.337485236348584e-05,2,2.0,6.0,0.6969348000000001,1
38,202011,-0.0006392780384339858,2,2.0,6.0,0.6969348000000001,1
39,202011,-0.0003130522791252588,2,2.0,6.0,0.6969348000000001,1
40,202011,-0.0006239652512522298,2,2.0,1.0,0.6969348000000001,1
41,202011,-0.00047129199498158414,2,2.0,6.0,0.6969348000000001,1
42,202011,-0.003920253170654178,2,2.0,11.0,0.6969348000000001,1
43,202011,-0.0028479018015787005,2,2.0,11.0,0.6969348000000001,1
44,202011,0.0001450536078209552,2,2.0,6.0,0.6969348000000001,1
45,202011,3.29327056533657e-05,2,2.0,6.0,0.6969348000000001,1
46,202011,-0.001150661048013717,2,2.0,7.0,0.6969348000000001,1
47,202011,-0.0030016271816566587,2,2.0,11.0,0.6969348000000001,1
48,202011,-0.0007154064113274217,2,2.0,1.0,0.6969348000000001,1
49,202011,-0.0008648819590598578,2,2.0,1.0,0.6969348000000001,1
50,202011,-0.00035766755318036305,2,2.0,1.0,0.6969348000000001,1
51,202011,-5.4900654322409534e-05,2,2.0,6.0,0.6969348000000001,1
52,202011,-0.0004614968417445198,2,2.0,1.0,0.6969348000000001,1
53,202011,-0.0010151766425406095,2,2.0,1.0,0.6969348000000001,1
54,202011,-0.00018736508856818547,2,2.0,6.0,0.6969348000000001,1
55,202011,-5.7710215332917866e-05,2,2.0,6.0,0.6969348000000001,1
56,202011,-0.002962602861225605,2,2.0,11.0,0.6969348000000001,1
57,202011,-2.183524251449853e-05,2,2.0,6.0,0.6969348000000001,1
58,202011,-0.0014637544976994832,2,2.0,7.0,0.6969348000000001,1
59,202011,-0.0002234580525691854,2,2.0,6.0,0.6969348000000001,1
60,202011,-0.0006264128571183392,2,2.0,6.0,0.6969348000000001,1
