,period,raw_data,closer#,category,label,Silhouette
131,202011,-0.00041954911372158674,2,3,1.0,0.12622885
132,202011,-0.00019272262223239524,2,3,13.0,0.12622885
133,202011,-0.000839829791784723,2,3,11.0,0.12622885
134,202011,-0.0013333723721734713,2,3,11.0,0.12622885
135,202011,-0.00046486424966133197,2,3,13.0,0.12622885
136,202011,-0.002393775931705022,2,3,12.0,0.12622885
137,202011,-0.0004805004545050906,2,3,1.0,0.12622885
138,202011,-0.0017532554099830122,2,3,12.0,0.12622885
139,202011,-0.0015179274696856737,2,3,12.0,0.12622885
140,202011,-2.5229929606211953e-05,2,3,1.0,0.12622885
141,202011,0.0003841521419599303,2,3,1.0,0.12622885
142,202011,-0.0023640006137429738,2,3,12.0,0.12622885
143,202011,0.00010360142914578319,2,3,1.0,0.12622885
144,202011,-0.00031757235097757075,2,3,13.0,0.12622885
145,202011,-0.0017165590982403955,2,3,12.0,0.12622885
146,202011,-0.002102649026783183,2,3,12.0,0.12622885
147,202011,0.0003185512918025779,2,3,1.0,0.12622885
148,202011,-0.0012545331478304434,2,3,11.0,0.12622885
149,202011,-0.0005919138654189737,2,3,1.0,0.12622885
150,202011,4.6979847247712314e-05,2,3,1.0,0.12622885
151,202011,-0.00020950113722392416,2,3,1.0,0.12622885
152,202011,-0.00011534886427398305,2,3,1.0,0.12622885
153,202011,-0.0024081413814565165,2,3,12.0,0.12622885
154,202011,-0.0005081590117879387,2,3,1.0,0.12622885
155,202011,0.00033319980542728444,2,3,1.0,0.12622885
156,202011,-0.0006610712087058346,2,3,11.0,0.12622885
157,202011,7.576697218610207e-05,2,3,13.0,0.12622885
158,202011,-0.001226184643455781,2,3,11.0,0.12622885
159,202011,-0.001388149647937098,2,3,11.0,0.12622885
160,202011,-3.936120121579734e-05,2,3,1.0,0.12622885
161,202011,-0.000907640807563439,2,3,13.0,0.12622885
162,202011,-0.001279689517832594,2,3,12.0,0.12622885
163,202011,-0.0006579774171768804,2,3,13.0,0.12622885
164,202011,-0.00037361253576818855,2,3,1.0,0.12622885
165,202011,-0.0005028904255141242,2,3,1.0,0.12622885
166,202011,-0.00043076856535662956,2,3,1.0,0.12622885
167,202011,0.0002602262446453096,2,3,1.0,0.12622885
168,202011,0.00022640264878646122,2,3,13.0,0.12622885
169,202011,-9.574533290106046e-05,2,3,13.0,0.12622885
170,202011,-0.00025826997793046755,2,3,13.0,0.12622885
171,202011,-0.00018210885169537506,2,3,11.0,0.12622885
172,202011,0.00023576730916829546,2,3,1.0,0.12622885
173,202011,0.00016434725774161052,2,3,1.0,0.12622885
174,202011,-0.0005854446720331908,2,3,11.0,0.12622885
175,202011,0.0002836815505725099,2,3,1.0,0.12622885
176,202011,-0.0005801818221516441,2,3,13.0,0.12622885
177,202011,-6.12790894228965e-05,2,3,13.0,0.12622885
178,202011,-7.035520178760635e-05,2,3,1.0,0.12622885
179,202011,-0.00021590857946648611,2,3,1.0,0.12622885
180,202011,-0.0027475913553462305,2,3,12.0,0.12622885
181,202011,-0.00022598725482566806,2,3,13.0,0.12622885
182,202011,-0.00041688158262331854,2,3,13.0,0.12622885
183,202011,-0.0006808001839090138,2,3,11.0,0.12622885
184,202011,-0.0002280437540321145,2,3,1.0,0.12622885
