date,price,open,high,low,vol,change
2020-02-14,10333.00 ,10235.50 ,10372.40 ,10125.20 ,732.51K,0.96%
2020-02-13,10235.10 ,10321.90 ,10482.60 ,10116.90 ,940.30K,-0.80%
2020-02-12,10317.70 ,10229.30 ,10435.60 ,10229.30 ,803.25K,0.86%
2020-02-11,10229.50 ,9854.00 ,10314.10 ,9725.10 ,791.28K,3.81%
2020-02-10,9854.10 ,10151.50 ,10181.70 ,9774.80 ,781.22K,-2.93%
2020-02-09,10151.50 ,9895.40 ,10157.10 ,9882.70 ,617.35K,2.59%
2020-02-08,9895.50 ,9817.30 ,9931.20 ,9673.20 ,551.31K,0.78%
2020-02-07,9818.60 ,9771.90 ,9872.50 ,9738.70 ,608.96K,0.48%
2020-02-06,9772.00 ,9611.80 ,9854.90 ,9536.10 ,778.67K,1.67%
2020-02-05,9611.80 ,9194.10 ,9726.80 ,9179.90 ,771.46K,4.54%
2020-02-04,9193.90 ,9296.50 ,9347.50 ,9193.90 ,651.68K,-1.10%
2020-02-03,9296.60 ,9334.60 ,9582.80 ,9243.10 ,701.39K,-0.41%
2020-02-02,9334.90 ,9381.50 ,9465.40 ,9183.10 ,683.37K,-0.50%
2020-02-01,9381.60 ,9349.30 ,9458.80 ,9301.50 ,458.42K,0.35%
2020-01-31,9349.10 ,9508.30 ,9525.00 ,9222.30 ,633.37K,-1.66%
2020-01-30,9507.30 ,9299.10 ,9569.00 ,9209.20 ,765.21K,2.24%
2020-01-29,9298.90 ,9377.30 ,9428.70 ,9250.90 ,749.88K,-0.84%
2020-01-28,9377.30 ,8866.60 ,9389.50 ,8866.60 ,954.20K,5.76%
2020-01-27,8866.60 ,8608.10 ,8983.10 ,8585.60 ,706.45K,3.01%
2020-01-26,8607.80 ,8341.60 ,8607.80 ,8304.90 ,468.34K,3.19%
2020-01-25,8341.60 ,8439.90 ,8447.60 ,8277.20 ,444.00K,-1.17%
2020-01-24,8439.90 ,8404.90 ,8522.00 ,8242.60 ,617.02K,0.41%
2020-01-23,8405.10 ,8678.50 ,8687.30 ,8309.60 ,722.67K,-3.15%
2020-01-22,8678.50 ,8733.00 ,8805.40 ,8610.80 ,509.06K,-0.62%
2020-01-21,8732.60 ,8642.00 ,8770.30 ,8524.00 ,540.20K,1.05%
2020-01-20,8641.90 ,8705.70 ,8740.10 ,8539.20 ,599.06K,-0.74%
2020-01-19,8706.20 ,8916.30 ,9183.70 ,8552.80 ,975.01K,-2.36%
2020-01-18,8916.30 ,8913.00 ,8982.30 ,8814.60 ,627.74K,0.04%
2020-01-17,8913.10 ,8726.70 ,9005.10 ,8675.90 ,794.11K,2.13%
2020-01-16,8726.90 ,8818.10 ,8850.00 ,8605.80 ,748.32K,-1.04%
2020-01-15,8818.30 ,8827.90 ,8904.00 ,8615.50 ,1.17M,-0.12%
2020-01-14,8829.20 ,8111.20 ,8898.70 ,8111.20 ,1.48M,8.85%
2020-01-13,8111.40 ,8188.30 ,8196.70 ,8068.40 ,610.66K,-0.93%
2020-01-12,8187.60 ,8023.30 ,8189.90 ,7973.10 ,595.22K,2.04%
2020-01-11,8024.10 ,8187.80 ,8262.90 ,8008.40 ,776.75K,-1.99%
2020-01-10,8187.10 ,7842.50 ,8187.40 ,7697.70 ,1.05M,4.40%
2020-01-09,7842.40 ,8060.00 ,8065.90 ,7779.20 ,786.50K,-2.70%
2020-01-08,8059.60 ,8154.20 ,8436.40 ,7900.80 ,1.19M,-1.18%
2020-01-07,8155.70 ,7759.10 ,8182.00 ,7754.10 ,1.01M,5.11%
2020-01-06,7759.10 ,7372.60 ,7783.10 ,7366.70 ,786.75K,5.24%
2020-01-05,7372.50 ,7376.80 ,7501.00 ,7345.60 ,628.14K,-0.06%
2020-01-04,7376.80 ,7345.10 ,7433.10 ,7291.40 ,523.91K,0.46%
2020-01-03,7343.10 ,6967.10 ,7402.90 ,6884.10 ,936.29K,5.40%
2020-01-02,6967.00 ,7199.70 ,7209.60 ,6901.40 ,632.78K,-3.23%
2020-01-01,7199.80 ,7196.40 ,7259.40 ,7180.00 ,420.28K,0.05%
2019-12-31,7196.40 ,7261.50 ,7331.00 ,7167.40 ,586.60K,-0.90%
2019-12-30,7261.80 ,7397.50 ,7420.90 ,7244.10 ,606.11K,-1.84%
2019-12-29,7397.50 ,7321.60 ,7518.90 ,7303.00 ,611.69K,1.04%
2019-12-28,7321.50 ,7261.90 ,7375.90 ,7256.50 ,610.96K,0.82%
2019-12-27,7261.70 ,7210.80 ,7293.80 ,7128.50 ,718.07K,0.70%
2019-12-26,7210.90 ,7225.00 ,7414.30 ,7177.30 ,795.09K,-0.19%
2019-12-25,7224.80 ,7268.30 ,7542.40 ,7150.90 ,625.41K,-0.60%
2019-12-24,7268.30 ,7322.40 ,7433.20 ,7185.70 ,785.54K,-0.74%
2019-12-23,7322.80 ,7496.20 ,7684.00 ,7276.20 ,952.16K,-2.31%
2019-12-22,7495.80 ,7156.30 ,7501.10 ,7142.00 ,677.94K,4.74%
2019-12-21,7156.20 ,7196.40 ,7197.60 ,7129.60 ,468.74K,-0.56%
2019-12-20,7196.40 ,7165.50 ,7218.40 ,7107.70 ,627.04K,0.43%
2019-12-19,7165.50 ,7276.40 ,7354.00 ,7039.30 ,778.72K,-1.52%
2019-12-18,7276.00 ,6613.50 ,7387.70 ,6462.20 ,1.14M,10.02%
2019-12-17,6613.30 ,6903.50 ,6943.50 ,6575.00 ,894.55K,-4.20%
2019-12-16,6903.50 ,7128.50 ,7153.10 ,6864.60 ,689.56K,-3.16%
2019-12-15,7128.50 ,7080.80 ,7175.80 ,7033.80 ,492.58K,0.67%
2019-12-14,7080.80 ,7255.20 ,7267.40 ,7043.30 ,524.56K,-2.40%
2019-12-13,7255.20 ,7208.40 ,7288.00 ,7200.30 ,503.49K,0.65%
2019-12-12,7208.00 ,7208.00 ,7272.40 ,7124.60 ,611.80K,0.00%
2019-12-11,7208.00 ,7235.80 ,7284.40 ,7168.80 ,518.40K,-0.38%
2019-12-10,7235.70 ,7356.20 ,7400.30 ,7192.10 ,609.50K,-1.63%
2019-12-09,7355.80 ,7524.80 ,7626.00 ,7321.60 ,648.66K,-2.24%
2019-12-08,7524.40 ,7510.80 ,7576.40 ,7416.70 ,499.04K,0.18%
2019-12-07,7510.90 ,7530.40 ,7595.70 ,7489.60 ,557.14K,-0.26%
2019-12-06,7530.80 ,7399.20 ,7552.10 ,7329.80 ,706.10K,1.78%
2019-12-05,7399.20 ,7204.60 ,7476.30 ,7184.00 ,780.78K,2.70%
2019-12-04,7204.40 ,7291.90 ,7702.20 ,7113.60 ,971.75K,-1.20%
2019-12-03,7291.80 ,7298.10 ,7389.40 ,7227.10 ,548.77K,-0.09%
2019-12-02,7298.20 ,7395.90 ,7433.80 ,7173.60 ,687.78K,-1.33%
2019-12-01,7396.40 ,7546.50 ,7546.50 ,7244.40 ,777.00K,-1.99%
2019-11-30,7546.60 ,7742.70 ,7787.70 ,7472.70 ,650.60K,-2.53%
2019-11-29,7742.70 ,7426.60 ,7825.30 ,7412.30 ,766.71K,4.26%
2019-11-28,7426.70 ,7510.60 ,7639.50 ,7380.60 ,737.58K,-1.12%
2019-11-27,7510.60 ,7162.80 ,7636.90 ,6875.40 ,996.49K,4.86%
2019-11-26,7162.80 ,7115.50 ,7329.50 ,7045.10 ,844.27K,0.66%
2019-11-25,7115.60 ,6924.70 ,7352.80 ,6534.80 ,1.29M,2.76%
2019-11-24,6924.70 ,7325.00 ,7344.10 ,6894.90 ,904.50K,-5.45%
2019-11-23,7324.10 ,7271.60 ,7342.50 ,7093.70 ,783.18K,0.71%
2019-11-22,7272.50 ,7627.90 ,7700.90 ,6818.50 ,1.41M,-4.66%
2019-11-21,7627.90 ,8099.40 ,8129.60 ,7519.70 ,891.50K,-5.82%
2019-11-20,8099.30 ,8145.70 ,8223.00 ,8074.20 ,607.27K,-0.57%
2019-11-19,8145.70 ,8207.70 ,8245.60 ,8032.80 ,654.27K,-0.76%
2019-11-18,8208.40 ,8510.30 ,8516.30 ,8110.40 ,692.60K,-3.54%
2019-11-17,8509.80 ,8497.40 ,8631.70 ,8413.00 ,531.22K,0.15%
2019-11-16,8497.30 ,8476.20 ,8532.80 ,8450.70 ,471.16K,0.25%
2019-11-15,8476.30 ,8660.80 ,8761.80 ,8437.10 ,653.71K,-2.13%
2019-11-14,8661.20 ,8782.90 ,8799.80 ,8615.80 ,515.43K,-1.39%
2019-11-13,8783.10 ,8813.20 ,8829.70 ,8721.10 ,454.33K,-0.33%
2019-11-12,8812.60 ,8737.40 ,8841.20 ,8615.70 ,575.16K,0.87%
2019-11-11,8736.90 ,9036.90 ,9066.40 ,8649.40 ,601.16K,-3.32%
2019-11-10,9036.80 ,8804.70 ,9092.90 ,8763.50 ,581.57K,2.64%
2019-11-09,8804.50 ,8778.10 ,8877.50 ,8746.90 ,512.02K,0.30%
2019-11-08,8778.20 ,9223.60 ,9254.80 ,8722.40 ,791.79K,-4.83%
2019-11-07,9223.50 ,9339.20 ,9367.00 ,9130.00 ,603.54K,-1.24%
2019-11-06,9338.90 ,9311.20 ,9424.60 ,9262.70 ,578.03K,0.30%
2019-11-05,9310.80 ,9396.10 ,9452.70 ,9193.90 ,653.42K,-0.91%
2019-11-04,9396.40 ,9198.70 ,9500.40 ,9134.10 ,681.01K,2.15%
2019-11-03,9198.30 ,9300.50 ,9359.10 ,9095.00 ,536.56K,-1.10%
2019-11-02,9300.60 ,9230.30 ,9356.70 ,9201.20 ,570.74K,0.76%
2019-11-01,9230.10 ,9153.10 ,9270.40 ,9057.20 ,689.65K,0.85%
2019-10-31,9152.60 ,9157.90 ,9378.90 ,8959.60 ,798.93K,-0.06%
2019-10-30,9157.90 ,9411.30 ,9411.30 ,9018.40 ,789.73K,-2.69%
2019-10-29,9411.30 ,9206.50 ,9531.30 ,9125.30 ,918.48K,2.22%
2019-10-28,9207.20 ,9530.10 ,9866.90 ,9202.50 ,1.04M,-3.38%
2019-10-27,9529.60 ,9230.60 ,9773.20 ,9081.00 ,1.16M,3.24%
2019-10-26,9230.60 ,8658.40 ,10540.00 ,8061.80 ,1.78M,6.61%
2019-10-25,8658.30 ,7422.80 ,8697.70 ,7404.90 ,1.18M,16.65%
2019-10-24,7422.70 ,7476.80 ,7501.50 ,7366.30 ,586.49K,-0.73%
2019-10-23,7477.00 ,8031.00 ,8055.00 ,7329.20 ,892.08K,-6.90%
2019-10-22,8031.40 ,8207.40 ,8289.10 ,8017.70 ,570.39K,-2.15%
2019-10-21,8208.20 ,8224.10 ,8315.30 ,8155.70 ,489.40K,-0.18%
2019-10-20,8223.40 ,7957.40 ,8288.50 ,7889.60 ,513.91K,3.34%
2019-10-19,7957.30 ,7948.30 ,8060.20 ,7892.40 ,428.83K,0.11%
2019-10-18,7948.50 ,8073.30 ,8116.40 ,7842.00 ,505.79K,-1.55%
2019-10-17,8073.30 ,8000.40 ,8118.20 ,7944.40 ,444.95K,0.91%
2019-10-16,8000.40 ,8167.10 ,8185.90 ,7929.80 ,538.92K,-2.04%
2019-10-15,8167.20 ,8353.40 ,8400.20 ,8139.50 ,469.73K,-2.23%
2019-10-14,8353.30 ,8281.30 ,8374.30 ,8222.20 ,505.02K,0.87%
2019-10-13,8281.50 ,8304.30 ,8450.20 ,8190.60 ,419.87K,-0.28%
2019-10-12,8304.40 ,8267.60 ,8394.80 ,8260.90 ,424.02K,0.44%
2019-10-11,8267.80 ,8562.20 ,8751.10 ,8249.70 ,667.86K,-3.44%
2019-10-10,8562.30 ,8566.80 ,8638.50 ,8438.70 ,511.46K,-0.05%
2019-10-09,8566.70 ,8180.10 ,8655.90 ,8122.70 ,636.43K,4.69%
2019-10-08,8182.90 ,8198.50 ,8323.10 ,8118.10 ,469.04K,-0.19%
2019-10-07,8198.60 ,7882.60 ,8293.50 ,7797.00 ,604.74K,4.02%
2019-10-06,7881.90 ,8127.30 ,8145.50 ,7834.90 ,448.80K,-3.02%
2019-10-05,8127.30 ,8148.00 ,8185.10 ,8030.60 ,360.92K,-0.25%
2019-10-04,8148.10 ,8227.60 ,8233.60 ,8041.40 ,416.92K,-0.96%
2019-10-03,8226.90 ,8363.60 ,8391.70 ,8090.10 ,460.97K,-1.64%
2019-10-02,8364.10 ,8302.70 ,8374.00 ,8167.70 ,405.86K,0.74%
2019-10-01,8302.70 ,8285.00 ,8486.20 ,8187.90 ,533.95K,0.22%
2019-09-30,8284.30 ,8048.90 ,8318.50 ,7749.00 ,600.26K,2.92%
2019-09-29,8049.10 ,8208.00 ,8226.80 ,7922.10 ,418.48K,-1.94%
2019-09-28,8208.50 ,8184.50 ,8297.20 ,8031.10 ,457.79K,0.29%
2019-09-27,8184.90 ,8063.80 ,8257.40 ,7882.10 ,561.40K,1.50%
2019-09-26,8063.80 ,8432.50 ,8463.10 ,7773.60 ,731.03K,-4.37%
2019-09-25,8432.40 ,8512.30 ,8729.80 ,8245.10 ,696.11K,-0.96%
2019-09-24,8513.90 ,9702.70 ,9793.80 ,8069.40 ,933.16K,-12.25%
2019-09-23,9702.20 ,10031.30 ,10048.80 ,9656.30 ,431.10K,-3.28%
2019-09-22,10031.60 ,9993.00 ,10075.00 ,9870.90 ,337.06K,0.39%
2019-09-21,9993.00 ,10172.80 ,10177.90 ,9939.80 ,326.17K,-1.77%
2019-09-20,10172.70 ,10251.50 ,10279.50 ,10088.60 ,362.07K,-0.76%
2019-09-19,10250.50 ,10164.60 ,10297.60 ,9707.60 ,542.25K,0.84%
2019-09-18,10164.70 ,10195.70 ,10257.50 ,10119.30 ,318.82K,-0.30%
2019-09-17,10195.70 ,10254.60 ,10273.60 ,10153.50 ,321.64K,-0.58%
2019-09-16,10255.50 ,10311.30 ,10360.50 ,10108.50 ,372.53K,-0.54%
2019-09-15,10311.50 ,10337.30 ,10360.40 ,10272.00 ,255.79K,-0.25%
2019-09-14,10337.30 ,10342.20 ,10421.40 ,10253.70 ,326.44K,-0.05%
2019-09-13,10342.10 ,10415.20 ,10441.40 ,10174.10 ,365.52K,-0.70%
2019-09-12,10415.10 ,10162.40 ,10447.90 ,10051.00 ,413.22K,2.49%
2019-09-11,10162.50 ,10104.90 ,10257.50 ,9908.90 ,413.06K,0.57%
2019-09-10,10105.40 ,10308.70 ,10379.80 ,9970.70 ,383.22K,-1.98%
2019-09-09,10309.00 ,10402.10 ,10478.00 ,10095.70 ,473.76K,-0.90%
2019-09-08,10402.80 ,10461.60 ,10578.00 ,10266.30 ,339.73K,-0.56%
2019-09-07,10461.10 ,10306.90 ,10556.40 ,10302.30 ,393.57K,1.47%
2019-09-06,10309.30 ,10566.70 ,10896.20 ,10227.40 ,643.02K,-2.44%
2019-09-05,10566.90 ,10567.80 ,10630.70 ,10469.90 ,402.09K,-0.01%
2019-09-04,10568.20 ,10611.60 ,10783.60 ,10388.60 ,504.45K,-0.42%
2019-09-03,10612.30 ,10348.10 ,10756.80 ,10283.50 ,578.79K,2.55%
2019-09-02,10348.80 ,9728.80 ,10431.50 ,9720.30 ,542.79K,6.37%
2019-09-01,9729.30 ,9594.70 ,9799.50 ,9533.60 ,322.66K,1.41%
2019-08-31,9594.40 ,9585.50 ,9677.50 ,9457.30 ,311.49K,0.09%
2019-08-30,9585.40 ,9494.10 ,9675.70 ,9370.20 ,413.92K,0.99%
2019-08-29,9491.00 ,9729.10 ,9729.10 ,9343.00 ,509.13K,-2.45%
2019-08-28,9729.40 ,10184.70 ,10271.30 ,9629.60 ,580.29K,-4.47%
2019-08-27,10184.80 ,10372.20 ,10387.60 ,10060.20 ,419.81K,-1.80%
2019-08-26,10371.80 ,10136.00 ,10568.20 ,10136.00 ,568.77K,2.32%
2019-08-25,10136.30 ,10132.10 ,10307.00 ,9935.20 ,422.53K,0.05%
2019-08-24,10131.00 ,10389.40 ,10415.90 ,9917.50 ,463.85K,-2.48%
2019-08-23,10388.70 ,10104.90 ,10434.30 ,9921.40 ,436.26K,2.81%
2019-08-22,10105.00 ,10141.10 ,10218.20 ,9777.00 ,520.75K,-0.36%
2019-08-21,10141.50 ,10753.30 ,10797.80 ,9908.00 ,717.65K,-5.68%
2019-08-20,10752.60 ,10911.20 ,10941.60 ,10581.00 ,515.47K,-1.45%
2019-08-19,10910.70 ,10312.80 ,10923.90 ,10267.80 ,519.01K,5.80%
2019-08-18,10312.70 ,10219.30 ,10494.90 ,10086.70 ,441.11K,0.93%
2019-08-17,10218.10 ,10335.50 ,10460.70 ,10016.30 ,497.77K,-1.14%
2019-08-16,10335.60 ,10300.90 ,10734.00 ,9788.60 ,798.67K,0.31%
2019-08-15,10303.40 ,10053.30 ,10448.20 ,9580.10 ,930.05K,2.53%
2019-08-14,10049.40 ,10894.20 ,10894.50 ,9965.50 ,745.59K,-7.74%
2019-08-13,10892.90 ,11395.00 ,11445.60 ,10793.20 ,540.78K,-4.40%
2019-08-12,11394.20 ,11505.10 ,11508.60 ,11267.30 ,391.08K,-1.07%
2019-08-11,11517.20 ,11314.60 ,11728.40 ,11146.10 ,435.83K,1.79%
2019-08-10,11314.50 ,12090.50 ,12185.00 ,11281.60 ,570.74K,-6.41%
2019-08-09,12089.80 ,12190.00 ,12225.30 ,11885.00 ,558.72K,-0.84%
2019-08-08,12191.60 ,12015.90 ,12236.60 ,11727.00 ,592.15K,1.48%
2019-08-07,12013.90 ,11481.00 ,12114.50 ,11406.40 ,702.85K,4.64%
2019-08-06,11480.90 ,11817.60 ,12291.90 ,11237.00 ,807.58K,-2.84%
2019-08-05,11816.80 ,10934.80 ,11922.30 ,10934.80 ,769.63K,8.07%
2019-08-04,10934.60 ,10816.10 ,11017.70 ,10568.80 ,585.71K,1.10%
2019-08-03,10815.70 ,10519.90 ,10893.60 ,10504.50 ,508.75K,2.81%
2019-08-02,10520.10 ,10380.50 ,10664.80 ,10330.50 ,578.29K,1.35%
2019-08-01,10380.00 ,10081.90 ,10459.00 ,9890.60 ,608.37K,2.96%
2019-07-31,10082.00 ,9580.30 ,10100.00 ,9562.40 ,589.84K,5.23%
2019-07-30,9580.70 ,9580.00 ,9703.00 ,9483.00 ,511.51K,0.00%
2019-07-29,9580.90 ,9728.50 ,9835.40 ,9502.50 ,510.90K,-1.51%
2019-07-28,9727.80 ,9491.10 ,9798.50 ,9401.10 ,518.59K,2.48%
2019-07-27,9492.10 ,9830.40 ,10232.30 ,9389.10 ,661.89K,-3.45%
2019-07-26,9831.00 ,9945.20 ,10436.10 ,9724.20 ,493.75K,-1.15%
2019-07-25,9945.30 ,9804.70 ,10203.50 ,9776.60 ,545.85K,1.44%
2019-07-24,9804.30 ,9887.20 ,9945.30 ,9584.00 ,639.54K,-0.85%
2019-07-23,9888.70 ,10412.80 ,10414.70 ,9865.40 ,663.38K,-5.03%
2019-07-22,10412.50 ,10715.10 ,10806.30 ,10196.50 ,591.27K,-2.82%
2019-07-21,10714.40 ,10827.00 ,10883.80 ,10442.50 ,562.17K,-1.04%
2019-07-20,10826.70 ,10571.90 ,11155.60 ,10462.00 ,668.94K,2.41%
2019-07-19,10571.50 ,10651.60 ,10758.40 ,10160.70 ,727.79K,-0.75%
2019-07-18,10651.40 ,9723.10 ,10787.10 ,9390.00 ,974.49K,9.55%
2019-07-17,9723.20 ,9425.10 ,9983.60 ,9082.60 ,1.03M,3.17%
2019-07-16,9424.80 ,10844.00 ,11019.50 ,9375.30 ,1.05M,-13.10%
2019-07-15,10845.90 ,10199.90 ,11064.70 ,9885.40 ,956.52K,6.33%
2019-07-14,10200.10 ,11364.30 ,11448.70 ,10128.90 ,840.76K,-10.25%
2019-07-13,11364.90 ,11762.80 ,11798.40 ,10839.40 ,747.71K,-3.38%
2019-07-12,11762.10 ,11343.70 ,11881.40 ,11109.80 ,738.17K,3.70%
2019-07-11,11342.30 ,12111.60 ,12111.60 ,11029.00 ,943.13K,-6.34%
2019-07-10,12110.60 ,12542.80 ,13134.40 ,11594.90 ,1.11M,-3.44%
2019-07-09,12541.50 ,12250.60 ,12772.90 ,12111.20 ,847.84K,2.36%
2019-07-08,12252.60 ,11415.80 ,12332.30 ,11304.80 ,695.60K,7.33%
2019-07-07,11415.90 ,11267.90 ,11524.60 ,11108.10 ,601.93K,1.31%
2019-07-06,11268.00 ,10969.80 ,11650.20 ,10967.90 ,688.96K,2.71%
2019-07-05,10970.20 ,11159.70 ,11381.80 ,10810.30 ,772.67K,-1.73%
2019-07-04,11163.10 ,11899.30 ,11948.00 ,11087.10 ,840.34K,-6.20%
2019-07-03,11900.80 ,10835.90 ,11931.80 ,10835.90 ,998.73K,9.83%
2019-07-02,10835.90 ,10615.50 ,10923.50 ,9728.50 ,1.12M,2.07%
2019-07-01,10616.60 ,10821.40 ,11254.50 ,10041.60 ,1.04M,-1.87%
2019-06-30,10818.60 ,11906.00 ,12179.30 ,10765.40 ,880.77K,-9.14%
2019-06-29,11906.50 ,12408.00 ,12422.90 ,11490.80 ,834.62K,-4.05%
2019-06-28,12409.10 ,11288.40 ,12461.80 ,10970.50 ,1.09M,9.93%
2019-06-27,11287.80 ,13062.40 ,13422.00 ,10493.50 ,1.59M,-13.59%
2019-06-26,13063.80 ,11811.60 ,13929.80 ,11747.30 ,1.48M,10.62%
2019-06-25,11809.90 ,11046.60 ,11833.90 ,11033.70 ,781.09K,6.91%
2019-06-24,11046.40 ,10897.30 ,11114.40 ,10622.60 ,566.96K,1.37%
2019-06-23,10897.10 ,10721.50 ,11361.30 ,10557.80 ,683.79K,1.64%
2019-06-22,10721.70 ,10178.10 ,11160.50 ,10031.30 ,1.09M,5.33%
2019-06-21,10179.30 ,9517.70 ,10184.30 ,9517.40 ,769.12K,6.96%
2019-06-20,9517.00 ,9255.00 ,9583.90 ,9188.40 ,693.62K,2.83%
2019-06-19,9255.40 ,9080.70 ,9295.10 ,9044.00 ,587.57K,1.93%
2019-06-18,9080.60 ,9318.90 ,9336.10 ,8962.70 ,723.17K,-2.56%
2019-06-17,9318.80 ,8961.00 ,9438.10 ,8959.80 ,738.80K,3.98%
2019-06-16,8962.50 ,8812.20 ,9332.00 ,8771.10 ,849.77K,1.70%
2019-06-15,8812.50 ,8655.80 ,8856.70 ,8582.30 ,608.69K,1.81%
2019-06-14,8656.10 ,8218.60 ,8685.30 ,8153.20 ,643.17K,5.32%
2019-06-13,8219.00 ,8132.40 ,8306.10 ,8028.60 ,574.21K,1.06%
2019-06-12,8133.10 ,7888.00 ,8198.10 ,7805.80 ,607.89K,3.11%
2019-06-11,7888.00 ,7987.80 ,8010.40 ,7714.50 ,579.00K,-1.25%
2019-06-10,7987.80 ,7635.00 ,8012.80 ,7523.60 ,641.38K,4.62%
2019-06-09,7635.00 ,7901.60 ,7937.50 ,7516.90 ,554.48K,-3.37%
2019-06-08,7901.40 ,7985.30 ,8044.40 ,7770.50 ,485.81K,-1.05%
2019-06-07,7985.20 ,7785.80 ,8099.40 ,7749.40 ,588.87K,2.57%
2019-06-06,7784.90 ,7779.60 ,7861.40 ,7480.40 ,651.82K,0.08%
2019-06-05,7779.10 ,7685.60 ,7885.00 ,7590.40 ,762.94K,1.22%
2019-06-04,7685.50 ,8118.10 ,8118.10 ,7494.00 ,966.95K,-5.41%
2019-06-03,8124.80 ,8728.60 ,8734.90 ,8102.70 ,739.45K,-6.92%
2019-06-02,8728.60 ,8545.80 ,8807.70 ,8534.80 ,614.54K,2.14%
2019-06-01,8545.70 ,8556.90 ,8615.80 ,8454.00 ,686.75K,-0.15%
2019-05-31,8558.30 ,8271.40 ,8578.80 ,8135.00 ,858.41K,3.46%
2019-05-30,8271.90 ,8647.80 ,9045.90 ,8054.70 ,1.04M,-4.35%
2019-05-29,8647.80 ,8715.60 ,8747.20 ,8435.30 ,15.43M,-0.79%
2019-05-28,8716.30 ,8759.40 ,8794.10 ,8568.80 ,763.20K,-0.50%
2019-05-27,8760.10 ,8628.90 ,8902.80 ,8607.30 ,907.96K,1.51%
2019-05-26,8630.20 ,8029.60 ,8718.60 ,7866.50 ,872.12K,7.51%
2019-05-25,8027.40 ,7971.40 ,8090.10 ,7919.10 ,691.27K,0.72%
2019-05-24,7970.10 ,7852.80 ,8124.10 ,7775.40 ,868.47K,1.50%
2019-05-23,7852.10 ,7637.20 ,7939.10 ,7486.80 ,815.14K,2.83%
2019-05-22,7635.70 ,7928.70 ,7999.00 ,7545.90 ,821.40K,-3.72%
2019-05-21,7930.30 ,7965.00 ,8056.80 ,7813.20 ,804.88K,-0.44%
2019-05-20,7965.30 ,8156.40 ,8156.40 ,7604.00 ,958.81K,-2.35%
2019-05-19,8157.20 ,7261.90 ,8253.40 ,7252.30 ,1.08M,12.32%
2019-05-18,7262.60 ,7359.90 ,7458.50 ,7189.40 ,865.53K,-1.32%
2019-05-17,7359.50 ,7871.90 ,7924.00 ,6998.60 ,1.43M,-6.51%
2019-05-16,7871.80 ,8164.80 ,8293.30 ,7720.40 ,1.18M,-3.59%
