date,price,open,high,low,vol,change
2018-10-19,446.24 ,445.60 ,451.18 ,439.04 ,196.27K,0.18%
2018-10-18,445.42 ,459.57 ,468.37 ,438.58 ,237.85K,-3.08%
2018-10-17,459.57 ,468.16 ,470.09 ,456.45 ,191.47K,-1.79%
2018-10-16,467.95 ,468.56 ,480.23 ,461.04 ,175.10K,-0.07%
2018-10-15,468.27 ,443.19 ,514.79 ,436.67 ,538.34K,5.66%
2018-10-14,443.19 ,453.41 ,465.23 ,440.69 ,166.26K,-2.25%
2018-10-13,453.41 ,444.77 ,458.75 ,443.99 ,129.58K,1.95%
2018-10-12,444.74 ,432.78 ,460.87 ,431.73 ,162.24K,2.74%
2018-10-11,432.88 ,516.06 ,516.06 ,429.21 ,346.62K,-16.10%
2018-10-10,515.95 ,520.37 ,526.02 ,510.79 ,158.56K,-0.85%
2018-10-09,520.37 ,531.57 ,536.36 ,517.02 ,152.25K,-2.11%
2018-10-08,531.57 ,520.94 ,534.90 ,519.98 ,169.71K,2.04%
2018-10-07,520.94 ,510.60 ,524.33 ,508.24 ,163.80K,2.02%
2018-10-06,510.60 ,521.46 ,522.51 ,504.20 ,153.99K,-2.08%
2018-10-05,521.44 ,514.74 ,527.52 ,512.78 ,156.05K,1.28%
2018-10-04,514.86 ,516.72 ,535.19 ,509.01 ,199.33K,-0.36%
2018-10-03,516.72 ,532.28 ,536.34 ,510.82 ,311.50K,-2.92%
2018-10-02,532.27 ,533.62 ,556.60 ,525.75 ,269.21K,-0.26%
2018-10-01,533.66 ,531.26 ,545.74 ,520.99 ,212.46K,0.45%
2018-09-30,531.26 ,538.45 ,552.31 ,517.78 ,251.32K,-1.33%
2018-09-29,538.44 ,539.78 ,558.07 ,514.53 ,333.87K,-0.30%
2018-09-28,540.07 ,566.32 ,577.11 ,531.64 ,381.13K,-4.63%
2018-09-27,566.30 ,513.82 ,588.63 ,513.82 ,675.29K,10.22%
2018-09-26,513.81 ,446.26 ,549.27 ,438.26 ,552.45K,15.13%
2018-09-25,446.30 ,462.63 ,465.59 ,424.74 ,256.84K,-3.53%
2018-09-24,462.63 ,489.93 ,497.31 ,457.06 ,243.61K,-5.62%
2018-09-23,490.18 ,484.92 ,513.39 ,480.66 ,223.83K,1.08%
2018-09-22,484.95 ,502.50 ,511.58 ,470.58 ,215.10K,-3.48%
2018-09-21,502.46 ,456.21 ,510.26 ,453.84 ,383.60K,10.14%
2018-09-20,456.22 ,429.58 ,465.87 ,424.02 ,232.98K,6.20%
2018-09-19,429.57 ,433.55 ,444.95 ,409.14 ,233.68K,-0.92%
2018-09-18,433.55 ,418.13 ,449.15 ,412.41 ,214.42K,3.88%
2018-09-17,417.37 ,450.25 ,462.11 ,409.32 ,246.47K,-7.30%
2018-09-16,450.24 ,449.02 ,451.33 ,426.92 ,156.78K,0.16%
2018-09-15,449.54 ,447.66 ,462.20 ,444.14 ,162.63K,0.39%
2018-09-14,447.77 ,463.58 ,478.70 ,440.80 ,194.91K,-3.42%
2018-09-13,463.61 ,432.46 ,475.34 ,431.53 ,237.97K,7.20%
2018-09-12,432.46 ,439.71 ,444.21 ,411.04 ,213.00K,-1.71%
2018-09-11,439.98 ,466.46 ,482.46 ,427.06 ,223.75K,-5.68%
2018-09-10,466.46 ,479.26 ,493.84 ,460.23 ,157.88K,-2.66%
2018-09-09,479.23 ,473.96 ,494.34 ,468.26 ,161.77K,1.11%
2018-09-08,473.96 ,497.42 ,511.71 ,463.82 ,186.85K,-4.69%
2018-09-07,497.27 ,519.67 ,528.53 ,491.65 ,177.39K,-4.31%
2018-09-06,519.67 ,526.23 ,528.32 ,488.52 ,269.40K,-1.30%
2018-09-05,526.53 ,626.35 ,635.79 ,523.72 ,283.42K,-15.94%
2018-09-04,626.35 ,628.36 ,649.22 ,622.96 ,186.61K,-0.32%
2018-09-03,628.36 ,650.90 ,657.78 ,623.37 ,178.74K,-3.40%
2018-09-02,650.47 ,618.47 ,661.13 ,604.53 ,270.17K,5.22%
2018-09-01,618.23 ,542.39 ,634.20 ,542.20 ,239.19K,13.98%
2018-08-31,542.40 ,538.34 ,549.64 ,534.80 ,111.13K,0.75%
2018-08-30,538.34 ,555.06 ,557.37 ,526.28 ,126.14K,-3.01%
2018-08-29,555.06 ,565.40 ,569.16 ,545.45 ,124.51K,-1.83%
2018-08-28,565.41 ,548.93 ,573.56 ,541.61 ,132.80K,3.00%
2018-08-27,548.93 ,523.92 ,553.70 ,520.08 ,120.00K,4.77%
2018-08-26,523.92 ,536.19 ,536.33 ,515.26 ,86.17K,-2.29%
2018-08-25,536.19 ,533.07 ,547.98 ,528.63 ,122.13K,0.59%
2018-08-24,533.07 ,530.47 ,538.20 ,520.70 ,179.52K,0.49%
2018-08-23,530.46 ,518.95 ,533.65 ,513.55 ,138.83K,2.22%
2018-08-22,518.94 ,536.68 ,574.40 ,509.56 ,191.80K,-3.31%
2018-08-21,536.68 ,513.28 ,543.15 ,510.89 ,142.41K,4.56%
2018-08-20,513.27 ,570.61 ,579.64 ,509.89 ,229.05K,-10.05%
2018-08-19,570.60 ,554.15 ,582.46 ,543.51 ,217.57K,2.97%
2018-08-18,554.16 ,604.10 ,610.81 ,535.86 ,253.44K,-8.26%
2018-08-17,604.06 ,516.31 ,604.06 ,516.25 ,263.56K,16.99%
2018-08-16,516.31 ,511.57 ,537.30 ,504.28 ,250.86K,0.99%
2018-08-15,511.26 ,510.12 ,539.49 ,503.52 ,252.71K,0.22%
2018-08-14,510.12 ,531.25 ,531.29 ,474.37 ,262.47K,-3.98%
2018-08-13,531.27 ,570.74 ,591.67 ,523.46 ,242.49K,-6.92%
2018-08-12,570.75 ,562.57 ,583.63 ,558.83 ,197.44K,1.46%
2018-08-11,562.57 ,570.55 ,582.34 ,539.08 ,217.92K,-1.39%
2018-08-10,570.49 ,608.51 ,611.57 ,560.24 ,231.18K,-6.25%
2018-08-09,608.51 ,588.83 ,620.43 ,577.47 ,210.55K,3.51%
2018-08-08,587.86 ,657.22 ,657.95 ,565.92 ,311.35K,-10.57%
2018-08-07,657.31 ,691.57 ,712.51 ,648.94 ,201.01K,-4.96%
2018-08-06,691.57 ,709.19 ,719.74 ,682.29 ,163.61K,-2.48%
2018-08-05,709.14 ,695.76 ,715.64 ,689.99 ,150.32K,1.92%
2018-08-04,695.76 ,724.76 ,738.43 ,690.45 ,155.43K,-4.00%
2018-08-03,724.76 ,730.88 ,731.59 ,701.85 ,179.41K,-0.84%
2018-08-02,730.88 ,768.53 ,772.82 ,723.98 ,190.28K,-4.92%
2018-08-01,768.66 ,775.64 ,778.11 ,736.22 ,264.79K,-0.88%
2018-07-31,775.48 ,814.88 ,815.74 ,759.79 ,216.02K,-4.89%
2018-07-30,815.32 ,830.35 ,831.93 ,785.07 ,230.75K,-1.81%
2018-07-29,830.37 ,824.60 ,840.27 ,813.44 ,177.75K,0.70%
2018-07-28,824.64 ,820.64 ,828.41 ,801.44 ,158.80K,0.49%
2018-07-27,820.64 ,804.41 ,830.56 ,781.94 ,180.55K,2.01%
2018-07-26,804.44 ,832.10 ,862.01 ,791.54 ,186.55K,-3.28%
2018-07-25,831.71 ,868.37 ,878.44 ,820.35 ,202.87K,-4.22%
2018-07-24,868.37 ,785.49 ,878.65 ,775.51 ,314.81K,10.56%
2018-07-23,785.46 ,788.44 ,833.53 ,783.48 ,196.77K,-0.40%
2018-07-22,788.61 ,789.38 ,823.00 ,781.73 ,145.61K,-0.09%
2018-07-21,789.34 ,766.87 ,801.20 ,744.24 ,150.25K,2.93%
2018-07-20,766.87 ,825.69 ,825.99 ,763.59 ,184.60K,-7.12%
2018-07-19,825.68 ,826.85 ,845.99 ,807.47 ,195.36K,-0.11%
2018-07-18,826.57 ,854.70 ,888.84 ,807.73 ,211.74K,-3.29%
2018-07-17,854.70 ,803.59 ,875.27 ,783.05 ,291.85K,6.36%
2018-07-16,803.59 ,724.06 ,810.34 ,718.88 ,271.85K,10.98%
2018-07-15,724.11 ,697.56 ,733.68 ,697.40 ,164.09K,3.80%
2018-07-14,697.60 ,695.56 ,710.58 ,690.16 ,101.02K,0.30%
2018-07-13,695.49 ,685.36 ,713.73 ,685.36 ,121.72K,1.48%
2018-07-12,685.35 ,706.67 ,708.64 ,663.52 ,238.60K,-3.02%
2018-07-11,706.67 ,687.65 ,709.94 ,685.74 ,200.66K,2.79%
2018-07-10,687.46 ,731.00 ,741.53 ,686.35 ,135.14K,-5.92%
2018-07-09,730.70 ,750.29 ,762.38 ,729.26 ,101.07K,-2.61%
2018-07-08,750.29 ,773.51 ,785.02 ,742.98 ,99.75K,-3.00%
2018-07-07,773.52 ,734.89 ,775.50 ,711.60 ,88.65K,5.26%
2018-07-06,734.89 ,742.86 ,744.53 ,700.64 ,116.02K,-1.07%
2018-07-05,742.86 ,764.15 ,786.14 ,717.33 ,168.03K,-2.80%
