,period,username,date,retweets,favorites,hashtags,text
91,201921,maxkeiser,2019-07-15 22:42:52+00:00,11,62,#Bitcoin #Bitcoin,Buying #Bitcoin here is like buying Fabergé eggs at a 99% discount. 
92,201921,maxkeiser,2019-07-15 22:38:36+00:00,18,23,#Bitcoin #Bitcoin,"BTC dominance is the new Space Race. Once countries figure out they can’t stop #Bitcoin, a mad scramble will breakout to see who can accumulate the most. Countries will sell their Gold to buy BTC. Who will win?"
93,201921,maxkeiser,2019-07-15 22:36:00+00:00,72,305,#Bitcoin #Bitcoin #Bitcoin #Bitcoin,Steve Mnuchin #Bitcoin comment translation: “Adding #Bitcoin to America’s strategic reserve is a matter of National Security. We cannot lose the global hashwar. As a country we won the space race and were the first to the Moon. Together we can succeed and win the BTC race”.
94,201921,maxkeiser,2019-07-15 20:39:48+00:00,9,49,,Bitcoin makes hard money fashionable again – RT’s Keiser Report 
95,201921,maxkeiser,2019-07-15 20:39:25+00:00,18,84,,"“Financial journalist Max Keiser recently suggested that the altcoin phenomenon is over, with investors' cash now flowing almost exclusively into bitcoin.” "
96,201921,maxkeiser,2019-07-15 19:41:33+00:00,15,37,#Bitcoin #Bitcoin,Max & Stacy respond to Mnuchin’s comment about #Bitcoin and ‘thin air’. @KeiserReport @stacyherbert
97,201921,maxkeiser,2019-07-15 19:36:32+00:00,12,65,#Bitcoin #Bitcoin,#Bitcoin to alts: Drop dead. (Dominance eyes 70%) 
98,201921,maxkeiser,2019-07-15 19:18:13+00:00,27,117,#Bitcoin #Bitcoin,"Satoshi’s comment on today’s US Treas. Sec. #Bitcoin remarks (first published Jan. 3, 2009). "
99,201921,maxkeiser,2019-07-15 19:06:58+00:00,9,55,#Bitcoin #Bitcoin,"The last frontier in the decades long transformation of all industries and economies to being comprised of software, was money itself. In 2009, after decades of trying, ‘software as money’ ie #Bitcoin (defined as interchangeable with Gold) was made available on the net."
100,201921,maxkeiser,2019-07-15 18:44:31+00:00,37,217,#Bitcoin #Bitcoin,"The first day #Bitcoin ignored today’s US Treasury Secretary’s remarks was Jan. 3, 2009. Anything any govt official might say; any action they might take was rendered DOA on that day. For some, this was obvious, and they started HODL’ing. For many more, the day to HODL is today."
101,201921,maxkeiser,2019-07-15 01:54:30+00:00,43,167,#Bitcoin #Bitcoin,"To say #Bitcoin is “backed by nothing” is like denying the existence of Zero, Calculus, and the 0’s and 1’s; the bits of computer code. This is the world @PeterSchiff lives in. A world before most of what we consider mathematics (and human rights) existed."
102,201921,maxkeiser,2019-07-15 01:26:38+00:00,0,4,#BlackBlockchainSummit #Bitcoin #Bitcoin,Still true. I received the John Brown award at the #BlackBlockchainSummit last year at Howard University for my work freeing Americans and people around the world from fiat tyranny with #Bitcoin @SkinnerLiber8ed
103,201921,maxkeiser,2019-07-15 01:07:42+00:00,10,51,#Bitcoin #Bitcoin,"Another leap higher for #Bitcoin dominance as ETH, BCH, BSV plunge (as predicted). "
